,alpha,beta,gamma,tau,scf_cs,nn_scf_cs
0,4,0.2,8,0.2,0.377138779,0.55935234
1,13,0.2,8,0.2,0.377490285,0.5502882
2,22,0.2,8,0.2,0.377494178,0.53914344
3,31,0.2,8,0.2,0.377688356,0.5179945
4,40,0.2,8,0.2,0.37751294,0.49699917
5,4,0.3,8,0.2,1.041565631,1.1054145
6,13,0.3,8,0.2,1.046707153,1.0916711
7,22,0.3,8,0.2,1.046691695,1.1067159
8,31,0.3,8,0.2,1.046623164,1.1145394
9,40,0.3,8,0.2,1.046630805,1.1168802
10,4,0.4,8,0.2,1.249483201,1.3385291
11,13,0.4,8,0.2,1.259855731,1.3163323
12,22,0.4,8,0.2,1.259855585,1.3307197
13,31,0.4,8,0.2,1.259836885,1.3369398
14,40,0.4,8,0.2,1.259832233,1.3370785
15,4,0.5,8,0.2,1.381379076,1.4658294
16,13,0.5,8,0.2,1.391657755,1.4325098
17,22,0.5,8,0.2,1.391672277,1.4350154
18,31,0.5,8,0.2,1.391649688,1.4333677
19,40,0.5,8,0.2,1.391628522,1.4301443
20,4,0.6,8,0.2,1.375652168,1.4840212
21,13,0.6,8,0.2,1.391361452,1.4412743
22,22,0.6,8,0.2,1.391317383,1.4326074
23,31,0.6,8,0.2,1.391318459,1.4263026
24,40,0.6,8,0.2,1.391300326,1.4239746
25,4,0.7,8,0.2,1.216047492,1.4096717
26,13,0.7,8,0.2,1.243546313,1.3659896
27,22,0.7,8,0.2,1.24914632,1.3507756
28,31,0.7,8,0.2,1.243239965,1.3437759
29,40,0.7,8,0.2,1.244419583,1.3455887
30,4,0.2,20,0.2,0.849017041,0.8809242
31,13,0.2,20,0.2,0.861796164,0.99146855
32,22,0.2,20,0.2,0.861808185,1.0972772
33,31,0.2,20,0.2,1.434361047,1.1849644
34,40,0.2,20,0.2,1.434347037,1.2565821
35,4,0.3,20,0.2,2.003547001,1.9467674
36,13,0.3,20,0.2,2.07878123,2.0116558
37,22,0.3,20,0.2,2.078816601,2.0524487
38,31,0.3,20,0.2,2.078803455,2.0829446
39,40,0.3,20,0.2,2.078862564,2.106239
40,4,0.4,20,0.2,2.367375722,2.532389
41,13,0.4,20,0.2,2.541971233,2.6056347
42,22,0.4,20,0.2,2.542063057,2.6039438
43,31,0.4,20,0.2,2.542052465,2.6064062
44,40,0.4,20,0.2,2.542019348,2.6119077
45,4,0.5,20,0.2,2.471138463,2.7404652
46,13,0.5,20,0.2,2.815001025,2.9153376
47,22,0.5,20,0.2,2.8151243,2.8967464
48,31,0.5,20,0.2,2.815144474,2.8876157
49,40,0.5,20,0.2,2.815112398,2.8880486
50,4,0.6,20,0.2,2.34510428,2.6386504
51,13,0.6,20,0.2,2.875997162,2.975962
52,22,0.6,20,0.2,2.877618468,2.9491153
53,31,0.6,20,0.2,2.877618505,2.9327223
54,40,0.6,20,0.2,2.877610236,2.9314575
55,4,0.7,20,0.2,2.119438932,2.3156693
56,13,0.7,20,0.2,2.746372197,2.8242145
57,22,0.7,20,0.2,2.747752434,2.7936695
58,31,0.7,20,0.2,2.747763906,2.7726703
59,40,0.7,20,0.2,2.747740865,2.7717683
60,4,0.2,32,0.2,2.26725612,2.2689621
61,13,0.2,32,0.2,2.337698897,2.3353565
62,22,0.2,32,0.2,2.337808853,2.3495836
63,31,0.2,32,0.2,2.337480754,2.3706274
64,40,0.2,32,0.2,2.337602086,2.393153
65,4,0.3,32,0.2,2.980161425,3.1330466
66,13,0.3,32,0.2,3.219723167,3.3251598
67,22,0.3,32,0.2,3.220301962,3.2954862
68,31,0.3,32,0.2,3.220202438,3.2919595
69,40,0.3,32,0.2,3.219938627,3.302127
70,4,0.4,32,0.2,3.267327325,3.524342
71,13,0.4,32,0.2,3.863861039,4.035734
72,22,0.4,32,0.2,3.865010991,3.9934113
73,31,0.4,32,0.2,3.864980066,3.9774172
74,40,0.4,32,0.2,3.864916565,3.9846919
75,4,0.5,32,0.2,3.176737399,3.5045516
76,13,0.5,32,0.2,4.290900746,4.4598365
77,22,0.5,32,0.2,4.292854854,4.4269505
78,31,0.5,32,0.2,4.29285402,4.403064
79,40,0.5,32,0.2,4.292821869,4.409929
80,4,0.6,32,0.2,2.910229314,3.2630284
81,13,0.6,32,0.2,4.46820702,4.587543
82,22,0.6,32,0.2,4.472366839,4.570005
83,31,0.6,32,0.2,4.472464961,4.5352335
84,40,0.6,32,0.2,4.472469057,4.538361
85,4,0.7,32,0.2,2.510848627,2.9224505
86,13,0.7,32,0.2,4.186687266,4.4377937
87,22,0.7,32,0.2,4.191924168,4.4354873
88,31,0.7,32,0.2,4.191937548,4.389521
89,40,0.7,32,0.2,4.191986479,4.387883
90,4,0.2,8,0.4,0.587055428,0.61699986
91,13,0.2,8,0.4,0.58760374,0.59568155
92,22,0.2,8,0.4,0.587777762,0.57949084
93,31,0.2,8,0.4,0.587440406,0.5646535
94,40,0.2,8,0.4,0.587480782,0.5547057
95,4,0.3,8,0.4,1.404818047,1.4454336
96,13,0.3,8,0.4,1.410919517,1.4297582
97,22,0.3,8,0.4,1.410759843,1.4323406
98,31,0.3,8,0.4,1.410787849,1.421883
99,40,0.3,8,0.4,1.41078118,1.4064717
100,4,0.4,8,0.4,1.81464776,1.9689538
101,13,0.4,8,0.4,1.83090807,1.9794179
102,22,0.4,8,0.4,1.830834156,1.9931386
103,31,0.4,8,0.4,1.830812832,1.9873219
104,40,0.4,8,0.4,1.830195886,1.9699305
105,4,0.5,8,0.4,2.214177646,2.2596867
106,13,0.5,8,0.4,2.238262721,2.2778811
107,22,0.5,8,0.4,2.23821739,2.2866514
108,31,0.5,8,0.4,2.238209099,2.282173
109,40,0.5,8,0.4,2.238358238,2.2691054
110,4,0.6,8,0.4,2.377794422,2.373528
111,13,0.6,8,0.4,2.409243729,2.4120214
112,22,0.6,8,0.4,2.409405292,2.4218693
113,31,0.6,8,0.4,2.409225838,2.422589
114,40,0.6,8,0.4,2.409182752,2.4172504
115,4,0.7,8,0.4,2.22958433,2.3562953
116,13,0.7,8,0.4,2.266538508,2.418728
117,22,0.7,8,0.4,2.267917568,2.4336696
118,31,0.7,8,0.4,2.266695462,2.4423432
119,40,0.7,8,0.4,2.26796628,2.4472182
120,4,0.2,20,0.4,2.496499661,2.4703019
121,13,0.2,20,0.4,2.538001481,2.5305831
122,22,0.2,20,0.4,2.538011171,2.5598238
123,31,0.2,20,0.4,2.537962995,2.565847
124,40,0.2,20,0.4,2.537882868,2.5552688
125,4,0.3,20,0.4,3.746626078,3.8424666
126,13,0.3,20,0.4,3.897371285,3.9605093
127,22,0.3,20,0.4,3.897523297,3.9612129
128,31,0.3,20,0.4,3.897485517,3.9541132
129,40,0.3,20,0.4,3.897400785,3.9368215
130,4,0.4,20,0.4,4.61229376,4.696695
131,13,0.4,20,0.4,4.943120026,4.979241
132,22,0.4,20,0.4,4.943327713,4.9862456
133,31,0.4,20,0.4,4.943304573,4.9824023
134,40,0.4,20,0.4,4.943201879,4.9678445
135,4,0.5,20,0.4,5.03607981,5.2100306
136,13,0.5,20,0.4,5.597217101,5.6897902
137,22,0.5,20,0.4,5.597534868,5.7048063
138,31,0.5,20,0.4,5.597549139,5.7005744
139,40,0.5,20,0.4,5.597529735,5.685155
140,4,0.6,20,0.4,5.244373894,5.348857
141,13,0.6,20,0.4,6.066056917,6.027056
142,22,0.6,20,0.4,6.066394971,6.045628
143,31,0.6,20,0.4,6.066400639,6.0367517
144,40,0.6,20,0.4,6.066453515,6.018403
145,4,0.7,20,0.4,4.931771639,5.1628942
146,13,0.7,20,0.4,5.895762391,6.002309
147,22,0.7,20,0.4,5.896239746,6.0209384
148,31,0.7,20,0.4,5.896233395,6.0075088
149,40,0.7,20,0.4,5.896207492,5.988925
150,4,0.2,32,0.4,4.290895222,4.2996287
151,13,0.2,32,0.4,4.432041068,4.4360285
152,22,0.2,32,0.4,4.432703462,4.404031
153,31,0.2,32,0.4,4.432485003,4.3865876
154,40,0.2,32,0.4,4.431790747,4.3688207
155,4,0.3,32,0.4,5.954645196,6.1252956
156,13,0.3,32,0.4,6.437272494,6.55268
157,22,0.3,32,0.4,6.438368212,6.524344
158,31,0.3,32,0.4,6.43818709,6.506619
159,40,0.3,32,0.4,6.437860609,6.4894996
160,4,0.4,32,0.4,6.90082067,7.0859675
161,13,0.4,32,0.4,7.963128598,8.037695
162,22,0.4,32,0.4,7.965514054,8.050279
163,31,0.4,32,0.4,7.965446157,8.046474
164,40,0.4,32,0.4,7.972124233,8.042302
165,4,0.5,32,0.4,7.191107016,7.419806
166,13,0.5,32,0.4,9.051127591,9.076996
167,22,0.5,32,0.4,9.052618358,9.128172
168,31,0.5,32,0.4,9.052625462,9.121884
169,40,0.5,32,0.4,9.05486841,9.117279
170,4,0.6,32,0.4,6.973667182,7.2813926
171,13,0.6,32,0.4,9.626830159,9.573759
172,22,0.6,32,0.4,9.631679162,9.655807
173,31,0.6,32,0.4,9.631665097,9.639114
174,40,0.6,32,0.4,9.631658107,9.62961
175,4,0.7,32,0.4,6.501153026,6.8359838
176,13,0.7,32,0.4,9.57334992,9.505945
177,22,0.7,32,0.4,9.579106465,9.6182165
178,31,0.7,32,0.4,9.578934591,9.598851
179,40,0.7,32,0.4,9.579126391,9.593221
180,4,0.2,8,0.6,0.877736667,0.5422817
181,13,0.2,8,0.6,0.493520951,0.5357886
182,22,0.2,8,0.6,0.493458466,0.53586614
183,31,0.2,8,0.6,0.493469646,0.5364087
184,40,0.2,8,0.6,0.493444139,0.5389332
185,4,0.3,8,0.6,1.083665804,1.1808482
186,13,0.3,8,0.6,1.08862553,1.1923546
187,22,0.3,8,0.6,1.088524033,1.2117674
188,31,0.3,8,0.6,1.088494134,1.214572
189,40,0.3,8,0.6,1.088616912,1.2084498
190,4,0.4,8,0.6,2.155524079,2.1712635
191,13,0.4,8,0.6,2.177696139,2.1256802
192,22,0.4,8,0.6,2.171698838,2.0837004
193,31,0.4,8,0.6,2.181299031,2.0379553
194,40,0.4,8,0.6,2.177617789,1.9939356
195,4,0.5,8,0.6,2.778720376,2.80514
196,13,0.5,8,0.6,2.812584877,2.8166604
197,22,0.5,8,0.6,2.812735924,2.7785585
198,31,0.5,8,0.6,2.335517574,2.732829
199,40,0.5,8,0.6,2.33578319,2.6847887
200,4,0.6,8,0.6,3.016572821,3.1551266
201,13,0.6,8,0.6,3.080412733,3.247313
202,22,0.6,8,0.6,3.086288153,3.2257342
203,31,0.6,8,0.6,3.089428752,3.1910543
204,40,0.6,8,0.6,3.09328915,3.149494
205,4,0.7,8,0.6,3.263966908,3.3191974
206,13,0.7,8,0.6,3.330043203,3.4774027
207,22,0.7,8,0.6,3.329039642,3.4674287
208,31,0.7,8,0.6,3.319614775,3.4415255
209,40,0.7,8,0.6,3.319834949,3.4070802
210,4,0.2,20,0.6,3.303249806,3.356761
211,13,0.2,20,0.6,3.362570035,3.3987117
212,22,0.2,20,0.6,3.362562775,3.38525
213,31,0.2,20,0.6,3.36208751,3.3581316
214,40,0.2,20,0.6,3.362334131,3.321979
215,4,0.3,20,0.6,5.11523115,5.1871486
216,13,0.3,20,0.6,5.331078358,5.4086995
217,22,0.3,20,0.6,5.331210515,5.41037
218,31,0.3,20,0.6,5.331042015,5.4020348
219,40,0.3,20,0.6,5.33088736,5.382724
220,4,0.4,20,0.6,6.438825911,6.6258483
221,13,0.4,20,0.6,6.911721039,7.083281
222,22,0.4,20,0.6,6.911880734,7.093457
223,31,0.4,20,0.6,6.911900298,7.082547
224,40,0.4,20,0.6,6.911602308,7.0583835
225,4,0.5,20,0.6,7.460644793,7.5650206
226,13,0.5,20,0.6,8.261181487,8.312743
227,22,0.5,20,0.6,8.261713472,8.328125
228,31,0.5,20,0.6,8.261660918,8.307967
229,40,0.5,20,0.6,8.261523822,8.27431
230,4,0.6,20,0.6,7.921246827,7.9833965
231,13,0.6,20,0.6,9.013565409,9.008313
232,22,0.6,20,0.6,9.014106117,9.023036
233,31,0.6,20,0.6,9.01409234,8.989624
234,40,0.6,20,0.6,9.014004881,8.944868
235,4,0.7,20,0.6,7.862009035,7.9508414
236,13,0.7,20,0.6,9.08216211,9.1760235
237,22,0.7,20,0.6,9.082805634,9.1926775
238,31,0.7,20,0.6,9.082905949,9.152194
239,40,0.7,20,0.6,9.082951635,9.102927
240,4,0.2,32,0.6,5.977155124,6.088587
241,13,0.2,32,0.6,6.182338784,6.3207054
242,22,0.2,32,0.6,6.182743965,6.2869916
243,31,0.2,32,0.6,6.183742237,6.2653027
244,40,0.2,32,0.6,6.182048278,6.2425547
245,4,0.3,32,0.6,8.731463756,8.731857
246,13,0.3,32,0.6,9.451366005,9.437
247,22,0.3,32,0.6,9.452749555,9.429606
248,31,0.3,32,0.6,9.450238473,9.415229
249,40,0.3,32,0.6,9.449779072,9.397545
250,4,0.4,32,0.6,10.32852796,10.376754
251,13,0.4,32,0.6,11.89483694,11.846627
252,22,0.4,32,0.6,11.89829593,11.865706
253,31,0.4,32,0.6,11.89813745,11.839729
254,40,0.4,32,0.6,11.89786955,11.814685
255,4,0.5,32,0.6,11.02118134,11.166483
256,13,0.5,32,0.6,13.66662251,13.653944
257,22,0.5,32,0.6,13.67229633,13.698031
258,31,0.5,32,0.6,13.67220621,13.645714
259,40,0.5,32,0.6,13.67198312,13.600703
260,4,0.6,32,0.6,11.07443725,11.28789
261,13,0.6,32,0.6,14.71913259,14.671705
262,22,0.6,32,0.6,14.7264566,14.739491
263,31,0.6,32,0.6,14.72639011,14.662315
264,40,0.6,32,0.6,14.72629838,14.598719
265,4,0.7,32,0.6,10.76936794,10.929465
266,13,0.7,32,0.6,14.89717319,14.861037
267,22,0.7,32,0.6,14.90411491,14.9654
268,31,0.7,32,0.6,14.90413157,14.882896
269,40,0.7,32,0.6,14.90432602,14.816551
270,4,0.2,8,0.8,0.006664503,-0.023578634
271,13,0.2,8,0.8,0.006678493,-0.03863713
272,22,0.2,8,0.8,0.006677635,-0.02658034
273,31,0.2,8,0.8,0.006679261,-0.010172611
274,40,0.2,8,0.8,0.006676974,0.008080924
275,4,0.3,8,0.8,1.199187331,1.0736915
276,13,0.3,8,0.8,1.20467136,1.036945
277,22,0.3,8,0.8,1.204269523,1.0274831
278,31,0.3,8,0.8,1.20467636,1.0127993
279,40,0.3,8,0.8,1.2045813,0.99623144
280,4,0.4,8,0.8,1.671747344,1.8889707
281,13,0.4,8,0.8,1.686578255,1.8582782
282,22,0.4,8,0.8,1.686490104,1.8300076
283,31,0.4,8,0.8,1.686303243,1.8019236
284,40,0.4,8,0.8,1.686567646,1.775785
285,4,0.5,8,0.8,2.804595449,2.774872
286,13,0.5,8,0.8,2.841020961,2.7946038
287,22,0.5,8,0.8,2.841592761,2.7525222
288,31,0.5,8,0.8,2.840787506,2.709682
289,40,0.5,8,0.8,2.37541777,2.6693368
290,4,0.6,8,0.8,3.170531151,3.4936905
291,13,0.6,8,0.8,3.218305813,3.5926356
292,22,0.6,8,0.8,3.22096693,3.5427647
293,31,0.6,8,0.8,3.218231408,3.4864457
294,40,0.6,8,0.8,3.217434647,3.4304962
