,alpha,beta,gamma,tau,scf_cs,nn_scf_cs
295,4,0.7,8,0.8,3.888549634,3.8629024
296,13,0.7,8,0.8,3.95935273,4.0252347
297,22,0.7,8,0.8,3.96003419,3.9741023
298,31,0.7,8,0.8,3.925497779,3.9138834
299,40,0.7,8,0.8,3.876359026,3.8537955
300,4,0.2,20,0.8,3.502841107,3.4446402
301,13,0.2,20,0.8,3.569024308,3.4590845
302,22,0.2,20,0.8,3.569478891,3.418319
303,31,0.2,20,0.8,3.569377999,3.378327
304,40,0.2,20,0.8,2.678138065,3.342865
305,4,0.3,20,0.8,6.22838875,6.255866
306,13,0.3,20,0.8,6.500551035,6.5200486
307,22,0.3,20,0.8,6.500578308,6.512756
308,31,0.3,20,0.8,6.500457038,6.4945974
309,40,0.3,20,0.8,6.500264592,6.4695635
310,4,0.4,20,0.8,8.219571131,8.317356
311,13,0.4,20,0.8,8.833318483,8.898871
312,22,0.4,20,0.8,8.833552509,8.901176
313,31,0.4,20,0.8,8.833366355,8.880751
314,40,0.4,20,0.8,8.833365277,8.854263
315,4,0.5,20,0.8,9.671670751,9.713545
316,13,0.5,20,0.8,10.71100096,10.679353
317,22,0.5,20,0.8,10.71160346,10.676204
318,31,0.5,20,0.8,10.71141093,10.6403675
319,40,0.5,20,0.8,10.71127286,10.605457
320,4,0.6,20,0.8,10.32439239,10.425505
321,13,0.6,20,0.8,11.70353301,11.764315
322,22,0.6,20,0.8,11.70437278,11.751799
323,31,0.6,20,0.8,11.70424176,11.696199
324,40,0.6,20,0.8,11.70405401,11.64796
325,4,0.7,20,0.8,10.51995759,10.55256
326,13,0.7,20,0.8,12.01628254,12.154208
327,22,0.7,20,0.8,12.01727949,12.136311
328,31,0.7,20,0.8,12.01726242,12.065429
329,40,0.7,20,0.8,12.01727509,12.005186
330,4,0.2,32,0.8,7.308060858,7.332683
331,13,0.2,32,0.8,7.569287124,7.6402683
332,22,0.2,32,0.8,7.569731117,7.610034
333,31,0.2,32,0.8,7.571968396,7.588107
334,40,0.2,32,0.8,7.568914718,7.567316
335,4,0.3,32,0.8,10.94666203,11.02255
336,13,0.3,32,0.8,11.88149327,11.958971
337,22,0.3,32,0.8,11.88349046,11.935653
338,31,0.3,32,0.8,11.88313784,11.901034
339,40,0.3,32,0.8,11.88243593,11.87249
340,4,0.4,32,0.8,13.33786748,13.290861
341,13,0.4,32,0.8,15.39743572,15.308967
342,22,0.4,32,0.8,15.40211583,15.30694
343,31,0.4,32,0.8,15.40178976,15.255322
344,40,0.4,32,0.8,15.40142877,15.222742
345,4,0.5,32,0.8,14.4939195,14.497871
346,13,0.5,32,0.8,17.93542496,17.940596
347,22,0.5,32,0.8,17.94283334,17.952215
348,31,0.5,32,0.8,17.94274751,17.868435
349,40,0.5,32,0.8,17.94252894,17.819328
350,4,0.6,32,0.8,15.01055645,14.904875
351,13,0.6,32,0.8,19.72280361,19.512741
352,22,0.6,32,0.8,19.73216515,19.538706
353,31,0.6,32,0.8,19.73208225,19.42958
354,40,0.6,32,0.8,19.73196622,19.368126
355,4,0.7,32,0.8,14.79313452,14.697993
356,13,0.7,32,0.8,19.98905399,20.00508
357,22,0.7,32,0.8,19.99829476,20.064827
358,31,0.7,32,0.8,19.99829104,19.951128
359,40,0.7,32,0.8,19.99823177,19.890043
360,4,0.2,8,1,0.006310998,-0.10525141
361,13,0.2,8,1,0.006320159,-0.07969925
362,22,0.2,8,1,0.006320231,-0.057965502
363,31,0.2,8,1,0.006357393,-0.043480113
364,40,0.2,8,1,0.006317955,-0.034193754
365,4,0.3,8,1,0.891526797,0.916606
366,13,0.3,8,1,0.895195226,0.90715784
367,22,0.3,8,1,0.895638067,0.899509
368,31,0.3,8,1,0.895633488,0.8829557
369,40,0.3,8,1,0.895154783,0.86120385
370,4,0.4,8,1,1.610452857,1.5484191
371,13,0.4,8,1,1.62521441,1.5800563
372,22,0.4,8,1,1.625133841,1.5859892
373,31,0.4,8,1,1.624922599,1.5852265
374,40,0.4,8,1,1.624887696,1.5809867
375,4,0.5,8,1,2.268793049,2.4559236
376,13,0.5,8,1,2.299194138,2.5394702
377,22,0.5,8,1,2.300277292,2.535375
378,31,0.5,8,1,2.299198143,2.526332
379,40,0.5,8,1,1.9099747,2.5170016
380,4,0.6,8,1,3.453133105,3.2413828
381,13,0.6,8,1,3.51055141,3.347576
382,22,0.6,8,1,3.510151627,3.3111696
383,31,0.6,8,1,3.510028634,3.2741957
384,40,0.6,8,1,3.509997203,3.2435405
385,4,0.7,8,1,2.882196102,2.9831824
386,13,0.7,8,1,2.920637704,3.1214502
387,22,0.7,8,1,2.932153852,3.1229863
388,31,0.7,8,1,2.907389815,3.121716
389,40,0.7,8,1,2.906466893,3.1274152
390,4,0.2,20,1,2.915099735,2.9816492
391,13,0.2,20,1,2.974245325,3.0193121
392,22,0.2,20,1,2.974740276,3.0055463
393,31,0.2,20,1,2.9733871,2.9960175
394,40,0.2,20,1,2.97405697,2.9928184
395,4,0.3,20,1,6.896503003,6.9388075
396,13,0.3,20,1,7.206994151,7.239996
397,22,0.3,20,1,7.206984502,7.2418637
398,31,0.3,20,1,7.20693857,7.233891
399,40,0.3,20,1,7.206771051,7.2243223
400,4,0.4,20,1,9.683101748,9.726877
401,13,0.4,20,1,10.42385723,10.419491
402,22,0.4,20,1,10.42413034,10.427156
403,31,0.4,20,1,10.42401567,10.418254
404,40,0.4,20,1,10.42382677,10.415993
405,4,0.5,20,1,11.5207439,11.606163
406,13,0.5,20,1,12.77643192,12.787271
407,22,0.5,20,1,12.77622185,12.789792
408,31,0.5,20,1,12.7768937,12.77332
409,40,0.5,20,1,12.77681905,12.778967
410,4,0.6,20,1,12.5547162,12.616437
411,13,0.6,20,1,14.2333502,14.288621
412,22,0.6,20,1,14.23428349,14.279217
413,31,0.6,20,1,14.2339398,14.245345
414,40,0.6,20,1,14.23409666,14.245778
415,4,0.7,20,1,13.05296803,12.873359
416,13,0.7,20,1,14.85380846,14.888721
417,22,0.7,20,1,14.85469644,14.864298
418,31,0.7,20,1,14.85468731,14.808266
419,40,0.7,20,1,14.85475466,14.793069
420,4,0.2,32,1,8.261917446,8.176991
421,13,0.2,32,1,8.574652958,8.563581
422,22,0.2,32,1,8.57520338,8.540271
423,31,0.2,32,1,8.578983383,8.523906
424,40,0.2,32,1,8.574138038,8.511668
425,4,0.3,32,1,13.1994278,13.037879
426,13,0.3,32,1,14.3474223,14.2175665
427,22,0.3,32,1,14.34984166,14.185219
428,31,0.3,32,1,14.34946542,14.14275
429,40,0.3,32,1,14.34924297,14.117124
430,4,0.4,32,1,16.2597154,15.985998
431,13,0.4,32,1,18.80020654,18.559458
432,22,0.4,32,1,18.80566004,18.544436
433,31,0.4,32,1,18.80566813,18.490139
434,40,0.4,32,1,18.80509767,18.475994
435,4,0.5,32,1,17.75458512,17.73124
436,13,0.5,32,1,21.97332329,21.935263
437,22,0.5,32,1,21.98223752,21.921139
438,31,0.5,32,1,21.98195572,21.842834
439,40,0.5,32,1,21.98189549,21.833242
440,4,0.6,32,1,18.48006958,18.473827
441,13,0.6,32,1,24.21577704,23.94683
442,22,0.6,32,1,24.22701612,23.942024
443,31,0.6,32,1,24.22711843,23.853989
444,40,0.6,32,1,24.17032443,23.857168
445,4,0.7,32,1,18.46955635,18.403818
446,13,0.7,32,1,24.76025128,24.716072
447,22,0.7,32,1,24.77150622,24.742188
448,31,0.7,32,1,24.77132863,24.66013
449,40,0.7,32,1,24.84644327,24.679657
450,8,0.31,29,0.23,3.467437437,3.4428105
451,34,0.56,11,0.26,2.148001717,2.1743684
452,25,0.22,10,0.29,0.985907033,1.1239791
453,33,0.47,11,0.25,1.969303236,2.0947127
454,27,0.26,16,0.48,3.038150575,3.1889808
455,9,0.54,26,0.89,16.64009154,16.434597
456,6,0.51,11,0.32,2.553152921,2.591006
457,22,0.43,23,0.75,10.63960281,10.755409
458,24,0.52,13,0.62,5.206346134,5.057226
459,12,0.24,30,0.71,7.967484089,8.041981
460,11,0.26,22,0.35,3.354084901,3.3593857
461,28,0.38,11,0.52,2.968382751,2.996386
462,21,0.55,17,0.36,4.346288957,4.493907
463,10,0.41,13,0.42,3.384381657,3.3808465
464,17,0.23,11,0.96,1.051378977,0.8407753
465,36,0.47,21,0.24,3.480113895,3.4964988
466,32,0.41,24,0.87,12.18871206,12.270863
467,15,0.42,28,0.46,8.137358116,8.398156
468,16,0.22,14,0.51,1.976465403,2.135851
469,23,0.44,17,0.76,7.610361936,7.475237
470,10,0.53,23,0.79,12.95262996,12.856716
471,36,0.56,26,0.75,14.44057305,14.522469
472,17,0.27,16,0.79,4.033391779,3.8389878
473,8,0.5,23,0.58,9.334624759,9.201225
474,9,0.52,9,0.48,2.912008665,2.8571506
475,30,0.67,26,0.79,15.80890572,16.095453
476,29,0.3,19,0.52,4.534735788,4.587011
477,33,0.22,9,0.95,0.164190144,0.29905498
478,22,0.62,29,0.67,15.08817196,15.137644
479,35,0.5,9,0.46,2.712612944,2.7091465
480,19,0.39,20,0.26,3.258341314,3.2656424
481,17,0.27,23,0.42,4.25128653,4.3367615
482,9,0.4,10,0.87,3.123428581,2.798
483,9,0.31,27,0.8,10.12661481,10.107419
484,30,0.46,9,0.67,3.076914025,2.9294012
485,38,0.37,24,0.86,11.13909223,11.05504
486,10,0.69,11,0.31,2.50019224,2.4584577
487,6,0.36,14,0.62,4.289963534,4.1514196
488,22,0.64,15,0.45,4.884836346,4.9095855
489,33,0.38,28,0.9,14.04542855,14.104154
490,18,0.59,13,0.95,7.433598496,7.391255
491,13,0.25,29,0.34,4.277085121,4.2262716
492,13,0.41,22,0.32,4.486196056,4.522797
493,7,0.5,18,0.29,3.726557738,3.716965
494,25,0.26,23,0.73,6.337115346,6.3282247
495,33,0.39,20,0.69,7.632409163,7.7458534
496,10,0.67,11,0.56,4.059667478,4.2651777
497,25,0.58,29,0.88,19.33278517,19.292185
498,7,0.59,21,0.98,14.72158555,14.207506
499,37,0.51,22,0.91,13.5030341,13.569337
500,16,0.38,18,0.24,2.691232405,2.72523
501,8,0.25,25,0.55,5.434772512,5.5165577
502,18,0.69,17,0.49,6.539252729,6.206507
503,20,0.26,27,0.66,7.145598563,7.3088565
504,24,0.4,11,0.94,3.904259288,3.3389785
505,18,0.69,11,0.77,5.443286722,5.6643567
506,7,0.69,27,0.85,17.54762239,16.456865
507,16,0.3,17,0.5,3.846838774,3.9554458
508,16,0.47,13,0.9,6.088221811,5.8702364
509,6,0.52,22,0.74,11.23220775,10.8115635
510,8,0.67,18,0.66,8.513061115,8.65064
511,26,0.21,24,0.61,4.63326848,4.6197133
512,31,0.45,17,0.42,4.643044502,4.705167
513,32,0.28,17,0.72,4.49339058,4.3921185
514,19,0.59,15,0.83,8.421131683,8.273708
515,20,0.24,29,0.96,9.219633624,9.34297
516,30,0.25,10,0.79,1.188959998,1.1232487
517,17,0.21,19,0.45,2.805300355,2.872436
518,18,0.35,13,0.88,4.239841344,3.9080133
519,31,0.28,18,0.93,5.338439492,5.155477
520,37,0.32,14,0.35,2.649271665,2.7564344
521,38,0.43,25,0.57,9.042589375,9.285494
522,27,0.28,16,0.26,2.047741743,2.0081913
523,18,0.4,17,0.93,7.811475563,7.768886
524,11,0.31,9,0.65,1.764982909,1.6667453
525,33,0.26,26,0.58,6.189284176,6.30365
526,29,0.58,14,0.7,6.635729385,6.5047684
527,31,0.61,13,0.92,7.451999126,7.334829
528,35,0.29,12,0.63,1.965561926,2.5767355
529,34,0.36,24,0.39,5.344649567,5.453438
530,34,0.54,15,0.54,5.539380277,5.495193
531,35,0.57,10,0.99,4.955575533,4.6758685
532,19,0.53,9,0.96,3.725305415,3.5661993
533,38,0.39,21,0.62,7.526865785,7.5511007
534,11,0.28,10,0.37,1.602771821,1.8131264
535,7,0.28,27,0.45,5.542763085,5.6718698
536,18,0.51,29,0.87,17.5350339,17.91449
537,35,0.63,24,0.62,11.42393042,11.510983
538,28,0.67,23,0.28,4.4577737,4.685423
539,13,0.65,18,0.84,10.83729569,11.0321
540,19,0.57,29,0.99,21.03632399,21.369833
541,15,0.26,22,0.25,2.496505322,2.3591554
542,35,0.36,19,0.89,8.000927113,7.9477386
543,34,0.69,11,0.4,3.007032908,3.1275446
544,20,0.24,26,0.31,3.299093985,3.234331
545,31,0.66,23,0.77,13.52437266,13.661059
546,26,0.49,23,0.53,8.435663272,8.624816
547,26,0.56,22,0.9,14.22895179,14.228331
548,23,0.28,21,0.46,4.335757722,4.3865385
549,17,0.25,26,0.83,7.732785706,7.7551
550,17,0.21,17,0.34,1.976569139,1.8471984
551,6,0.67,9,0.44,2.904374459,2.8115003
552,26,0.5,25,0.75,13.15298308,13.156661
553,12,0.64,11,0.44,3.388682149,3.405767
554,26,0.3,23,0.91,8.55777299,8.651258
555,25,0.21,22,0.57,3.972411468,3.966914
556,12,0.24,26,0.5,5.007692223,5.161312
557,15,0.57,10,0.86,4.668158854,4.6680923
558,24,0.43,26,0.76,12.37315652,12.519148
559,35,0.56,17,0.56,6.838025595,6.7434106
560,38,0.39,14,0.34,2.869155746,3.038512
561,19,0.63,18,0.47,6.133592401,6.355031
562,36,0.55,25,0.54,9.956843936,10.126562
563,13,0.52,18,0.65,8.104859188,8.024036
564,29,0.26,27,0.22,2.693765466,2.6625175
565,32,0.49,25,0.28,4.867771661,4.9011536
566,6,0.32,15,0.75,4.490472912,4.367727
567,15,0.63,28,0.53,11.50132055,11.56888
568,31,0.58,23,0.85,14.39858946,14.466162
569,27,0.48,23,0.45,7.139165203,7.2870307
570,16,0.45,22,0.3,4.425377336,4.4842143
571,28,0.48,15,0.8,7.176108364,6.9555855
572,6,0.64,20,0.27,3.821061619,3.7242055
573,38,0.43,12,0.84,4.822542254,4.3788533
574,13,0.57,15,0.58,6.081375054,6.0299697
575,30,0.27,21,0.38,3.5782818,3.6006966
576,38,0.33,18,0.32,3.094384414,3.1939027
577,15,0.29,28,0.31,4.223507964,4.2522697
578,22,0.31,14,0.84,3.983206102,3.7155094
579,15,0.25,18,0.97,4.388285621,4.078708
580,32,0.64,15,0.46,4.969592254,4.9927936
581,25,0.68,27,0.55,11.45067314,11.644917
582,35,0.43,28,0.66,11.91707126,11.933886
583,10,0.43,26,0.98,15.1180349,15.416771
584,38,0.29,10,0.32,1.486006273,1.79721
,,,,,24.84644327,
